pl_name,hostname,disc_year,discoverymethod,pl_orbper,sy_dist,pl_rade,pl_eqt,ra,dec
K2-381 b,K2-381,2022,Transit,7.939256,145.701,1.08322371,,288.0267612,-21.0075789
Kepler-580 b,Kepler-580,2016,Transit,,323.899,2.336,,283.4997537,40.5528053
Kepler-259 b,Kepler-259,2014,Transit,8.115313,1002.14,2.9,888.0,288.2119707,46.6150461
WASP-60 b,WASP-60,2012,Transit,4.3050011,431.052,9.64,1320.0,356.6667136,31.1559115
Kepler-137 c,Kepler-137,2014,Transit,18.73577127,302.979,,,282.1355875,43.0391951
Kepler-194 b,Kepler-194,2014,Transit,2.092269993,1097.97,1.48,1514.0,291.971429,47.8640498
Kepler-514 b,Kepler-514,2016,Transit,,455.336,1.859,,286.2471739,50.2423694
Kepler-321 b,Kepler-321,2014,Transit,,384.542,1.519,,294.4536991,44.1457626
HAT-P-29 b,HAT-P-29,2011,Transit,5.723186,313.576,12.408,1260.0,33.1310921,51.7787754
Kepler-618 b,Kepler-618,2016,Transit,3.595769645,1221.96,2.39,1252.0,286.2498525,48.0609256
WASP-106 b,WASP-106,2014,Transit,9.289715,352.181,12.161765,,166.4296276,-5.0794854
Kepler-712 c,Kepler-712,2016,Transit,226.89047,872.493,4.48,244.0,294.9096739,42.9351987
Kepler-1096 b,Kepler-1096,2016,Transit,2.892217506,377.976,1.17,771.0,294.7094688,45.9695533
Kepler-1818 b,Kepler-1818,2021,Transit,4.64495172,1034.59,,,284.3284866,40.5688741
XO-1 b,XO-1,2006,Transit,3.941501,163.553,,,240.5492745,28.1696248
HD 192310 b,HD 192310,2011,Radial Velocity,74.062,8.79687,,,303.8284712,-27.0337556
Kepler-542 b,Kepler-542,2016,Transit,13.14497566,436.016,1.8,767.0,292.2149697,38.5485469
Kepler-1188 b,Kepler-1188,2016,Transit,17.1369543,1717.48,2.17,781.0,283.1038438,43.1480487
K2-381 c,K2-381,2022,Transit,16.034656,145.701,2.0,,288.0267612,-21.0075789
Kepler-659 b,Kepler-659,2016,Transit,,722.64,2.783,,287.6081777,47.5096893
KOI-984 b,KOI-984,2022,Transit,4.287455473,252.667,2.78,998.0,291.0489438,36.8400772
TIC 172900988 b,TIC 172900988 Aa,2021,Transit,151.2,250.956,,,128.6616644,31.5539793
Kepler-666 b,Kepler-666,2016,Transit,4.49876092,1508.71,2.21,1133.0,298.4568899,48.7915925
Kepler-1334 b,Kepler-1334,2016,Transit,,1223.04,2.492,,289.311532,51.3209059
Kepler-1875 b,Kepler-1875,2021,Transit,34.4584231,1660.45,2.01,554.0,296.7727406,50.1883667
Kepler-326 c,Kepler-326,2014,Transit,4.58,487.675,2.79,,294.3255898,46.0022646
OGLE-2019-BLG-0468L b,OGLE-2019-BLG-0468L,2022,Microlensing,,4400.0,,,266.406,-24.4472778
Kepler-9 b,Kepler-9,2010,Transit,19.243,628.257,8.2,,285.5739904,38.4008192
Kepler-400 b,Kepler-400,2014,Transit,9.024389,845.97,1.65,,290.9444679,40.4800528
Kepler-1408 b,Kepler-1408,2016,Transit,2.99793191,535.048,0.84,1512.0,282.6998783,45.4257884
HD 285507 b,HD 285507,2013,Radial Velocity,6.0881,45.0293,,,61.755663,15.3349441
HD 38801 b,HD 38801,2009,Radial Velocity,696.29999,91.4349,,,86.9963141,-8.3280256
Kepler-61 b,Kepler-61,2013,Transit,,335.079,2.696,,295.3044942,42.4753193
Kepler-527 b,Kepler-527,2016,Transit,13.28534769,750.04,,,290.957913,47.4062673
Kepler-1365 b,Kepler-1365,2016,Transit,7.699939,840.128,0.75,886.0,292.1996573,42.0459944
Kepler-1814 b,Kepler-1814,2021,Transit,2.93535874,726.346,,,285.2166767,41.2824449
HAT-P-12 b,HAT-P-12,2009,Transit,3.21305751,142.751,,,209.3886452,43.49331
Kepler-1135 b,Kepler-1135,2016,Transit,76.9611,1314.64,2.07,457.0,286.0029904,44.7565551
Kepler-1087 b,Kepler-1087,2016,Transit,0.693842855,362.623,0.61,,294.9789253,46.0056741
K2-277 b,K2-277,2018,Transit,6.3297696,113.123,,,202.0161895,-15.9379749
Kepler-370 b,Kepler-370,2014,Transit,4.57950946,1167.94,1.526,,292.1710683,40.9162381
K2-73 b,K2-73,2016,Transit,7.49543,269.183,2.45,,335.025662,-9.0560881
K2-85 b,K2-85,2016,Transit,0.684557,97.2179,1.37,,59.464829,18.4649505
K2-73 b,K2-73,2016,Transit,7.495,269.183,,,335.025662,-9.0560881
Kepler-299 b,Kepler-299,2014,Transit,2.92721119,1052.24,,,283.2070156,48.5805222
Kepler-265 e,Kepler-265,2014,Transit,67.8318396275,1280.25,,,290.5104788,41.244743
BD-10 3166 b,BD-10 3166,2000,Radial Velocity,3.487,84.4069,,,164.6191243,-10.7704227
Kepler-547 b,Kepler-547,2016,Transit,6.010383339,378.972,3.8,768.0,286.1185888,44.3452063
Kepler-335 b,Kepler-335,2014,Transit,6.56228956,1278.97,,,296.0642944,45.4285986
Kepler-146 c,Kepler-146,2014,Transit,76.7325168,716.797,2.91,474.0,294.1107631,38.7102222
Kepler-131 c,Kepler-131,2014,Transit,25.5157102556,228.678,,,288.5308924,40.942373
KOI-1257 b,KOI-1257,2014,Transit,86.64764448,,9.4,419.0,291.2250888,44.9272918
Kepler-1941 b,Kepler-1941,2021,Transit,31.3351397,1494.39,1.99,670.0,296.6270184,49.353891
HATS-45 b,HATS-45,2018,Transit,4.1876153815,772.11,13.90023688,1361.2,101.9942455,-21.9107112
Kepler-1836 b,Kepler-1836,2021,Transit,5.254169941,1472.62,2.55303229,,292.3150933,40.8387799
