koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_kepmag,koi_disposition
-0.0386896547929713,-0.3383782733076553,-0.2788418863226519,-0.03247545362458443,-0.14701555447673675,-0.6485187371256736,-0.04825409219540897,0.04805893034050735,-0.28348382142833284,-0.9447300784422655,0.4388704343900331,0.7988815204025758,1
-0.05094966104782424,-0.5358955502331234,-0.27789955188204735,-0.032530690770964495,-0.14391461732640282,-0.1965989449234707,-0.04732451423471752,-0.0074828719040184255,-0.2911490008380194,-0.4615822630399801,0.5590726319286816,1.1500866311399776,1
-0.05147578802016443,-0.4276902995229803,-0.2801356203159464,-0.03268665447839056,-0.14652593282142087,-0.08566256182473868,-0.04681732356261751,-0.09288585815097739,-0.2489276847453195,-0.07882879889011771,0.586811600591448,0.7836432821267788,1
-0.05351513437179221,-0.6368542954570618,-0.26237231213169915,-0.03196207308764031,-0.14652593282142087,0.4281480546325464,-0.04176390686241197,0.03730890409963138,-0.09901688088046538,0.00901625845575236,0.58450001986955,0.9062748187272356,-1
0.4383041765175972,7.347610077469061,-0.06929832053279204,-0.028839549695214354,-0.12171843561874947,-1.0385477050727947,-0.04836873032433518,-0.010170378464237417,0.48102358067876916,-0.23444004333137325,0.36027668984553196,0.6755243534080339,-1
-0.00959869796600739,0.30434522284138904,-0.22696971913474231,-0.020479245128396478,-0.10409205602737769,-0.6777125221516558,-0.0482742118451549,0.15317029802907223,-0.21939789521619904,0.5486358964375256,0.21233552364411712,0.7067264603537116,-1
-0.02641469532812839,-0.010285429372804987,-0.28045905381427,-0.03251769379534566,-0.1130684530415022,-0.649686488526713,-0.04825478165381148,-0.07974693718990676,-0.2829811867129436,-0.28338228956692946,0.1360533598215118,0.6501272896150398,1
-0.02434220261473087,-0.15772335309743202,-0.26234556199274,-0.032179772429255855,-0.1437514101079642,-0.7547841146202485,-0.04831601809556157,-0.2060597455201992,-0.26224750470313557,-0.8481005153618084,0.40419672356157726,1.1355740232582656,1
-0.05002636307521137,-0.47278479544668706,-0.2766568863358566,-0.03257293094172572,-0.1437514101079642,-0.3063675766211634,-0.04769212091932782,-0.1881430351187393,-0.26739951053587574,-0.8481005153618084,0.40419672356157726,1.1355740232582656,1
-0.0428526440450601,-0.3691643826025503,-0.2756233582397097,-0.032426714966013785,-0.147341968913614,-0.5749503988601988,-0.04818721473036563,0.01909358185814715,-0.2848660668956534,-0.868179385612293,0.43655885366813524,0.8083147155256877,1
-0.030640067328810527,-0.13196825716557076,-0.26731987192372475,-0.03234223462449134,-0.15191177102989556,-0.6765447707506165,-0.048273459708715806,-0.21322642968078317,-0.22605780519510707,-0.15161470354812434,0.5775652777038585,0.5848205541473412,1
0.012831332668816711,0.12587502403040365,-0.28133694473829124,-0.03274514086867533,-0.15191177102989556,-0.8482042267033914,-0.04834635426527195,-0.03853850326654895,-0.30258394061312566,-0.15161470354812434,0.5775652777038585,0.5848205541473412,1
-0.05097719458113821,-0.5273274421539994,-0.1700806849765949,-0.02946665376882331,-0.10556092099332531,0.020602815669836193,-0.04618095345710202,0.02864916073892575,0.548627949898628,0.006506399674441787,0.11293755260254124,0.7161596554768236,1
-0.052636854494328734,-0.3495788168192413,-0.2788029770296205,-0.03130897506279367,-0.13363256256476927,0.15956523239351103,-0.04506271460626956,0.08389235114342719,-0.2658916063897079,-0.19679216161171464,0.36489985128932567,0.9171592746385178,-1
-0.05131570325710176,-0.2951915622677901,-0.283671502320176,-0.03275163935648475,-0.12400333667689026,0.05563535770101472,-0.04592886239393021,-0.12633038423370258,-0.2895154380130043,0.4620457684823108,0.40650830428347307,0.8119428674961147,1
-0.04017861097825432,-0.06207255775192364,-0.14619645863234354,-0.029398419646824412,-0.10866185814365927,-0.41496845691781686,-0.04795079317634175,-0.003600917983702106,0.3185469089291828,0.4607908390916556,0.18690813570324868,0.914256753062176,-1
-0.050644322974764795,-0.4165820681831931,-0.281949766103536,-0.03247870286848914,-0.1047448849011322,0.00892530165944335,-0.04625441211598748,0.01551023977785516,-0.11711173063447963,0.09058666884834599,0.06670593816460012,-1.077598678702633,1
-0.0241640881586784,0.7606596734047526,-0.2553029799540543,-0.03164689642888348,-0.11143638085711592,-0.6648672567402236,-0.048266126378434575,-0.1134900751126563,-0.14928035241939386,-0.29969637164544816,0.1314301983777181,0.815571019466543,1
-0.04848217100486846,-0.5236334167458514,-0.27659973831171675,-0.03261517111248695,-0.15370705043272048,-0.3449033728554598,-0.0477949128993382,-0.2126292060007345,-0.2720488816532266,-0.14408512720419261,0.6284200535855954,0.755343696757443,1
